Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length,Characters,Words,Corpus Name,Sentences,Type
0.01069,0.00625,0.00021,0.00072,0.00016,0.00028,0.00063,0.00026,0.00005,0.00002,0.00007,0.00021,0.00016,0.00281,0.00181,0.00428,0.00042,0.00128,0.00002,0.51928,35.79825,0.00037,0.00063,0.01627,0.00002,106,"43,036","8,203",Cicero Epistulae Ad Familiares Part 12 Ad Cassium Et Ceteros,406,Prose
0.0135,0.00977,0.00017,0.00098,0.00022,0.00017,0.00123,0.00032,0,0.00002,0.00002,0.00003,0.00027,0.00377,0.00196,0.0051,0.00002,0.0026,0.00014,0.56351,34.22993,0.00035,0.00084,0.01629,0,136.36866,"59,184","11,251",Cicero Epistulae Ad Familiares Part 13 Ad Memmium Et Ceteros,434,Prose
0.01671,0.00538,0,0.00032,0.0004,0.00024,0.00048,0.00024,0,0,0.00008,0,0,0.00345,0.00434,0.00241,0.00096,0.00241,0.00008,0.44444,30.52475,0.00056,0.0004,0.01534,0.00016,75.46061,"12,451","2,504",Cicero Epistulae Ad Familiares Part 14 Ad Terentiam Uxorem,165,Prose
0.01181,0.0064,0.00016,0.00052,0.00013,0.00039,0.00076,0.00031,0,0.00003,0.00003,0,0.00005,0.00281,0.00171,0.00462,0.00026,0.00176,0.00029,0.64935,35.25625,0.00071,0.00121,0.01606,0,157.43802,"38,100","7,158",Cicero Epistulae Ad Familiares Part 15 Ad Senatum Et Ceteros,242,Prose
0.01628,0.00549,0.00005,0.00041,0.00032,0.00009,0.00054,0.0005,0,0.00009,0,0.00018,0.00023,0.00395,0.00286,0.00308,0.00041,0.00163,0,0.38079,31.98726,0.00045,0.00032,0.01556,0,70.88424,"22,045","4,337",Cicero Epistulae Ad Familiares Part 16 Ad Tironem,311,Prose
0.01427,0.00659,0.00021,0.00038,0.00034,0.00027,0.00099,0.00038,0,0.00003,0,0.00007,0.00021,0.00302,0.00206,0.00439,0.00096,0.00134,0.0001,0.5913,28.92857,0.00038,0.00075,0.01441,0.00003,113.44747,"29,156","5,539",Cicero Epistulae Ad Familiares Part 2 Ad Curionem Et Ceteros,257,Prose
0.01532,0.0064,0.0003,0.00038,0.00038,0.00022,0.00101,0.00036,0.00003,0.00011,0.00008,0.00011,0.00011,0.00287,0.00219,0.00479,0.00107,0.00161,0.00014,0.64706,29.23077,0.00052,0.00126,0.01321,0,133.90842,"36,557","6,933",Cicero Epistulae Ad Familiares Part 3 Ad Claudium Pulchrum,273,Prose
0.01128,0.0082,0.00028,0.00055,0.00015,0.00034,0.00151,0.00055,0.00003,0.00003,0.00003,0,0.00003,0.0023,0.00197,0.00323,0.00068,0.00138,0.00003,0.68778,27.78594,0.00095,0.00086,0.01641,0,132.82449,"32,542","6,153",Cicero Epistulae Ad Familiares Part 4 Ad Sulpicium Et Ceteros,245,Prose
0.01364,0.00654,0.00029,0.00029,0.00022,0.00038,0.00101,0.00036,0,0,0.00002,0.00007,0.00016,0.00262,0.00282,0.00412,0.00065,0.0015,0.00013,0.68151,29.72564,0.00081,0.00074,0.01673,0,139.55312,"44,657","8,369",Cicero Epistulae Ad Familiares Part 5 Ad Metellum Et Ceteros,320,Prose
0.01159,0.0078,0.00013,0.00038,0.00018,0.00028,0.00117,0.00043,0,0,0.00003,0.00008,0.0003,0.00239,0.00213,0.00407,0.00038,0.00117,0.0002,0.65017,31.01671,0.00084,0.00091,0.01675,0,123.35737,"39,351","7,492",Cicero Epistulae Ad Familiares Part 6 Ad Torquatum Et Ceteros,319,Prose
0.01569,0.00645,0.00034,0.00045,0.00089,0.00039,0.00076,0.00031,0.00003,0.00003,0.00008,0.0001,0.00016,0.0026,0.00299,0.00367,0.00097,0.00131,0.00003,0.53806,29.94562,0.00042,0.00087,0.01509,0.00005,91.39568,"38,112","7,344",Cicero Epistulae Ad Familiares Part 7 Ad Marium Et Ceteros,417,Prose
0.00859,0.0084,0.00016,0.00086,0.00022,0.00051,0.00032,0.00025,0.00003,0,0.00006,0.00016,0.00016,0.00232,0.00258,0.00471,0.0006,0.00064,0.00003,0.54138,29.97701,0.0006,0.0006,0.01257,0,102.05519,"31,433","5,935",Cicero Epistulae Ad Familiares Part 8 Caeli Epistulae Ad Ciceronem,308,Prose
0.01307,0.00786,0.00015,0.00043,0.00058,0.00035,0.00098,0.00053,0.00003,0.00005,0,0.00018,0.00013,0.0029,0.00248,0.00308,0.00155,0.0009,0.0001,0.49854,28.83893,0.00068,0.00103,0.0157,0.00003,99.35323,"39,940","7,986",Cicero Epistulae Ad Familiares Part 9 Ad Varronem Et Ceteros,402,Prose
0.0061,0.0074,0.0002,0.00099,0.00054,0.00011,0.00059,0.00047,0,0.00001,0.00001,0.00013,0.00003,0.00169,0.00191,0.00298,0.00136,0.00128,0.00051,0.56977,36.35371,0.00066,0.00052,0.01469,0.00006,135.97505,"70,843","12,558",Cicero In Catilinam,521,Prose
0.0074,0.00621,0.00019,0.00079,0.00074,0.00024,0.0009,0.00035,0.00002,0,0.00003,0.00005,0.00013,0.00164,0.00145,0.00294,0.00215,0.00149,0.00032,0.52066,34.86176,0.00037,0.00095,0.01225,0.00016,127.07959,"62,269","10,915",Cicero In L Pisonem,490,Prose
0.00874,0.00658,0.00016,0.0006,0.0002,0.00028,0.0006,0.0006,0.00004,0,0.00008,0.00004,0.00008,0.00196,0.00112,0.00507,0.00323,0.00188,0.00016,0.62195,32.104,0.00076,0.00124,0.01145,0,172.84138,"25,062","4,490",Cicero In Vatinium,145,Prose
0.01137,0.0082,0.0004,0.00058,0.00022,0.00042,0.00058,0.0004,0,0.00004,0,0.00006,0.0001,0.003,0.00132,0.00484,0.00048,0.0008,0.0001,0.47368,34.45641,0.00046,0.00078,0.01449,0.00004,93.23694,"49,975","9,324",Cicero Letters To Atticus Part 1,536,Prose
0.01053,0.00837,0.00013,0.00103,0.00061,0.00029,0.00126,0.00068,0.00005,0.00005,0,0.00037,0.00026,0.00211,0.00342,0.00479,0.00134,0.00087,0.00003,0.39448,27.48173,0.00079,0.00087,0.01508,0.00003,68.07527,"37,986","7,326",Cicero Letters To Atticus Part 10,558,Prose
0.01132,0.00987,0.00023,0.00088,0.00051,0.00048,0.00105,0.00043,0.00003,0,0.00011,0.00006,0.0002,0.00318,0.00269,0.00539,0.0006,0.00077,0.00003,0.51329,31.69333,0.00068,0.00051,0.01367,0,69.12941,"35,256","6,950",Cicero Letters To Atticus Part 11,510,Prose
0.01262,0.00758,0.00032,0.00029,0.00068,0.00038,0.0012,0.00045,0,0.00007,0,0.00018,0.00011,0.00336,0.00366,0.00488,0.00129,0.00032,0,0.40525,26.45144,0.00099,0.00059,0.01643,0.00002,59.6218,"44,299","8,828",Cicero Letters To Atticus Part 12,743,Prose
0.01163,0.00862,0.00033,0.00088,0.00075,0.00033,0.00086,0.00055,0.00002,0.00007,0.00002,0.00004,0.00011,0.00303,0.00305,0.00487,0.0018,0.00042,0,0.31191,27.91118,0.00072,0.00048,0.01597,0.00004,54.92771,"45,590","8,938",Cicero Letters To Atticus Part 13,830,Prose
0.011,0.00713,0.00008,0.0009,0.0007,0.0002,0.00085,0.00031,0,0.00008,0,0.00003,0.00023,0.00271,0.00158,0.00457,0.00149,0.00065,0.00006,0.36452,31.01594,0.00042,0.00065,0.01446,0.00025,62.8883,"35,469","6,738",Cicero Letters To Atticus Part 14,564,Prose
0.01176,0.00826,0.00009,0.00126,0.00048,0.00045,0.00057,0.00042,0.00003,0.00006,0,0.00009,0.00015,0.00326,0.00213,0.00545,0.00213,0.00066,0,0.33209,32.42731,0.00093,0.0006,0.01488,0.00012,55.49834,"33,410","6,483",Cicero Letters To Atticus Part 15,602,Prose
0.01096,0.0079,0.0002,0.00072,0.00049,0.00051,0.00077,0.00034,0.00003,0.00003,0,0.00009,0.00031,0.00335,0.00195,0.00429,0.00137,0.00077,0.00003,0.36,29.9812,0.00063,0.001,0.01568,0.00017,61.10664,"34,953","6,692",Cicero Letters To Atticus Part 16,572,Prose
0.01013,0.00815,0.00018,0.00125,0.00058,0.00033,0.00074,0.00018,0,0.00007,0.00009,0.00002,0.00013,0.00326,0.00257,0.00404,0.00138,0.00033,0.00004,0.40805,31.67584,0.00051,0.00071,0.01355,0.00004,76.57436,"44,796","8,530",Cicero Letters To Atticus Part 2,585,Prose
0.01399,0.00621,0.00007,0.00037,0.0004,0.00044,0.00095,0.00048,0,0.00007,0.00004,0.00004,0,0.00365,0.00343,0.00435,0.00095,0.00095,0,0.49829,31.37551,0.0008,0.00051,0.01432,0,85.7931,"27,368","5,346",Cicero Letters To Atticus Part 3,319,Prose
0.00971,0.00702,0.00021,0.00096,0.00035,0.00032,0.00085,0.00035,0,0.00003,0,0.00003,0.00011,0.00267,0.00213,0.00438,0.00115,0.00075,0,0.34706,33.24138,0.00048,0.00075,0.01265,0.00005,67.77215,"37,478","7,061",Cicero Letters To Atticus Part 4,553,Prose
0.01044,0.00707,0.00013,0.00072,0.00005,0.00034,0.00087,0.0004,0.00003,0.00011,0,0.00019,0.00011,0.00302,0.00209,0.00485,0.00079,0.00072,0.00003,0.36397,31.04089,0.00048,0.00098,0.01264,0.00003,65.98252,"37,742","7,179",Cicero Letters To Atticus Part 5,572,Prose
0.01074,0.00773,0.00024,0.00074,0.00042,0.00027,0.00074,0.00027,0,0,0,0.00015,0.00006,0.00244,0.0017,0.00517,0.00184,0.00077,0,0.35666,30.25339,0.00036,0.00077,0.01315,0,66.71429,"33,624","6,333",Cicero Letters To Atticus Part 6,504,Prose
0.00924,0.00875,0.00015,0.00065,0.00041,0.0003,0.00118,0.00062,0,0.00004,0.00006,0.00017,0.00019,0.00265,0.00239,0.00506,0.00179,0.00095,0,0.37375,30.3467,0.00069,0.00069,0.01435,0.00004,67.66764,"46,420","8,982",Cicero Letters To Atticus Part 7,686,Prose
0.01052,0.00858,0.00017,0.00059,0.00027,0.00037,0.00096,0.00064,0.00002,0.00007,0.00005,0.00012,0.00029,0.0027,0.00214,0.00332,0.00125,0.00074,0.00002,0.5,30.03753,0.00079,0.00113,0.0135,0,86.73561,"40,679","7,731",Cicero Letters To Atticus Part 8,469,Prose
0.01048,0.00992,0.0003,0.00088,0.00034,0.00034,0.00099,0.00041,0,0,0,0.00011,0.00026,0.003,0.00192,0.00377,0.00149,0.0008,0,0.39054,30.22767,0.00065,0.00073,0.01468,0.00006,72.58216,"46,380","8,963",Cicero Letters To Atticus Part 9,639,Prose
0.0085,0.0069,0.00021,0.00071,0.00017,0.00042,0.00088,0.00044,0,0.00002,0.00006,0.00013,0.00017,0.00213,0.00229,0.00396,0.00004,0.00094,0.0001,0.51313,37.27232,0.00075,0.00065,0.01499,0,104.68612,"52,029","9,536",Cicero Letters To Brutus,497,Prose
