"","primerid","component","contrast","Pr(>Chisq)","ci.hi","ci.lo","coef","z"
"114","p009","S","conditionspeech",NA,NA,NA,NA,-18.4269361227287
"115","p009","S","(Intercept)",NA,NA,NA,NA,73.6583918888346
"116","p009","logFC","conditionphil",NA,-0.0369992198912179,-0.0571105237781175,-0.0470548718346677,-9.1715439845919
"117","p009","logFC","conditionspeech",NA,-0.0884039358961913,-0.108125692747513,-0.0982648143218522,-19.5312718304241
"118","p010","C","conditionphil",8.35386920794018e-06,0.0677638532843445,0.0268227592296156,0.04729330625698,4.52812408235081
"119","p010","C","conditionspeech",0.0598866226383141,0.0427065555938183,-0.000610350918888516,0.0210481023374649,1.90473077814285
"120","p010","C","(Intercept)",NA,0.147294237561001,0.116712010343932,0.132003123952467,16.9197205263855
"121","p010","D","conditionphil",4.44338622684574e-47,1.31761722618478,1.00168313531813,1.15965018075146,14.3882705579727
"122","p010","D","conditionspeech",5.17718075884412e-40,1.31748334432547,0.981753091674022,1.14961821799975,13.422742129765
"123","p010","D","(Intercept)",NA,-2.29839872399603,-2.52546764122732,-2.41193318261168,-41.6375982118292
"124","p010","H","conditionphil",3.93582677537544e-50,NA,NA,NA,NA
"125","p010","H","conditionspeech",1.47115798335352e-39,NA,NA,NA,NA
"126","p010","S","conditionphil",NA,NA,NA,NA,13.3759109257736
"127","p010","S","conditionspeech",NA,NA,NA,NA,10.8381600316348
"128","p010","S","(Intercept)",NA,NA,NA,NA,-17.4781789279169
"129","p010","logFC","conditionphil",NA,0.0338608997191834,0.024137087428682,0.0289989935739327,11.6902674166874
"130","p010","logFC","conditionspeech",NA,0.0278932402687925,0.0179064375440268,0.0228998389064096,8.98843418565376
"131","p011","C","conditionphil",6.90304409163072e-26,0.0815543122086544,0.0561805481230121,0.0688674301658332,10.6391532905626
"132","p011","C","conditionspeech",2.22157940149482e-11,0.065845684616222,0.0361587411098538,0.0510022128630379,6.73444205005185
"133","p011","C","(Intercept)",NA,0.187790872932202,0.171237541163125,0.179514207047663,42.5100379107895
"134","p011","D","conditionphil",2.76311753681168e-67,1.11259730277096,0.882207310340294,0.997402306555625,16.970117306936
"135","p011","D","conditionspeech",2.71641184877954e-09,0.486287770480728,0.24511591983798,0.365701845159354,5.94399755760824
"136","p011","D","(Intercept)",NA,-0.287405207625528,-0.414160859337278,-0.350783033481403,-10.8479914343343
"137","p011","H","conditionphil",5.52980269490582e-90,NA,NA,NA,NA
"138","p011","H","conditionspeech",3.95667402068839e-18,NA,NA,NA,NA
"139","p011","S","conditionphil",NA,NA,NA,NA,19.5227024631056
"140","p011","S","conditionspeech",NA,NA,NA,NA,8.96501062144056
"141","p011","S","(Intercept)",NA,NA,NA,NA,22.3884477697451
"142","p011","logFC","conditionphil",NA,0.0982170102520705,0.0794351381237711,0.0888260741879208,18.5387170253482
"143","p011","logFC","conditionspeech",NA,0.0515778732646887,0.0323101641997248,0.0419440187322067,8.53332026187643
"144","p012","C","conditionphil",8.08460301490381e-22,0.0681195876288134,0.0451699798013104,0.0566447837150619,9.6752621507138
"145","p012","C","conditionspeech",2.27109856481586e-06,0.0455231342563182,0.0189150991450564,0.0322191167006873,4.74655930683982
"146","p012","C","(Intercept)",NA,0.208421493659597,0.194375657437202,0.2013985755484,56.2065438272955
"147","p012","D","conditionphil",1.20332123295478e-32,0.834386473747022,0.593595482472982,0.713990978110002,11.6233302166151
"148","p012","D","conditionspeech",0.0996112011673139,0.223985012538611,-0.0197700379922036,0.102107487273204,1.64203364953098
"149","p012","D","(Intercept)",NA,0.330994267142315,0.205040750856964,0.26801750899964,8.34124652265112
"150","p012","H","conditionphil",1.77616198132498e-51,NA,NA,NA,NA
"151","p012","H","conditionspeech",3.6117616618877e-06,NA,NA,NA,NA
"152","p012","S","conditionphil",NA,NA,NA,NA,15.0603790926663
"153","p012","S","conditionspeech",NA,NA,NA,NA,4.5174174016904
"154","p012","S","(Intercept)",NA,NA,NA,NA,45.6421802670549
"155","p012","logFC","conditionphil",NA,0.0834473907552945,0.0637817439796089,0.0736145673674517,14.6734966231664
"156","p012","logFC","conditionspeech",NA,0.034311894011308,0.0138254414945051,0.0240686677529065,4.60535780051384
"157","p013","C","conditionphil",0.00256427822144122,-0.00939974912390927,-0.0439234234665097,-0.0266615862952095,-3.02724144543539
"158","p013","C","conditionspeech",8.44021300584346e-11,0.0573538917826852,0.0308788027685051,0.0441163472755951,6.53191018495287
"159","p013","C","(Intercept)",NA,0.227214070168656,0.213486958993022,0.220350514580839,62.9235193082585
"160","p013","D","conditionphil",1.98668790858386e-152,-1.44551245587373,-1.69330529541657,-1.56940887564515,-24.8270682797524
"161","p013","D","conditionspeech",0.795880617361984,0.106998023618838,-0.13892486297336,-0.0159634196772612,-0.254451532113096
"162","p013","D","(Intercept)",NA,0.512922854597609,0.384934608223094,0.448928731410351,13.7494523147829
"163","p013","H","conditionphil",6.94989840496549e-153,NA,NA,NA,NA
"164","p013","H","conditionspeech",6.79282468739790e-10,NA,NA,NA,NA
"165","p013","S","conditionphil",NA,NA,NA,NA,-19.6959712919507
"166","p013","S","conditionspeech",NA,NA,NA,NA,4.43883358204117
"167","p013","S","(Intercept)",NA,NA,NA,NA,54.2159781683763
"168","p013","logFC","conditionphil",NA,-0.0792166157749284,-0.0945156342499309,-0.0868661250124296,-22.2569149490342
"169","p013","logFC","conditionspeech",NA,0.0368710135883993,0.0149733389497475,0.0259221762690734,4.64035864325097
"170","p014","C","conditionphil",4.9600192137404e-54,0.127893697165685,0.0995345286218369,0.113714112893761,15.7180606660655
"171","p014","C","conditionspeech",1.37493236125484e-06,0.0524981381116235,0.0222667317028181,0.0373824349072208,4.84715961155052
"172","p014","C","(Intercept)",NA,0.260913134935617,0.243778637342388,0.252345886139002,57.7301838922587
"173","p014","D","conditionphil",2.58661849047859e-23,0.71317888523653,0.474823856297954,0.594001370767242,9.76879991712895
"174","p014","D","conditionspeech",1.78271648431607e-28,0.861848713065694,0.59597309678952,0.728910904927607,10.7466727607892
"175","p014","D","(Intercept)",NA,0.381054403145081,0.254643846735532,0.317849124940307,9.85634198748793
"176","p014","H","conditionphil",3.1463949784517e-74,NA,NA,NA,NA
"177","p014","H","conditionspeech",2.15689405267133e-32,NA,NA,NA,NA
"178","p014","S","conditionphil",NA,NA,NA,NA,18.0219319495329
"179","p014","S","conditionspeech",NA,NA,NA,NA,11.0265046151678
"180","p014","S","(Intercept)",NA,NA,NA,NA,47.7908907664089
"181","p014","logFC","conditionphil",NA,0.127805164222755,0.102358048366279,0.115081606294517,17.727415939191
"182","p014","logFC","conditionspeech",NA,0.0813143540371883,0.0554561970735673,0.0683852755553778,10.3667618191006
"183","p015","C","conditionphil",7.69230480888774e-06,0.0567435147685842,0.0224564251625899,0.0395999699655871,4.52733176325642
"184","p015","C","conditionspeech",3.93052783082859e-05,0.0521251229137351,0.0187309037843235,0.0354280133490293,4.15866170960981
"185","p015","C","(Intercept)",NA,0.138003520144724,0.114101677333207,0.126052598738965,20.6727619819347
"186","p015","D","conditionphil",2.18163474448992e-31,1.00030988814656,0.714263019377647,0.857286453762105,11.748078774917
"187","p015","D","conditionspeech",2.6746737950699e-72,1.47721388348367,1.188481881334,1.33284788240883,18.0952151264312
"188","p015","D","(Intercept)",NA,-1.8890358614206,-2.08050537954073,-1.98477062048066,-40.6339241035184
"189","p015","H","conditionphil",1.4478758141459e-34,NA,NA,NA,NA
"190","p015","H","conditionspeech",1.29037246578498e-74,NA,NA,NA,NA
"191","p015","S","conditionphil",NA,NA,NA,NA,11.5084531581374
"192","p015","S","conditionspeech",NA,NA,NA,NA,15.7358672184549
"193","p015","S","(Intercept)",NA,NA,NA,NA,-14.1146730965359
"194","p015","logFC","conditionphil",NA,0.0301286240380574,0.0204599903774196,0.0252943072077385,10.2550024917976
"195","p015","logFC","conditionspeech",NA,0.046017063687272,0.0341582326091866,0.0400876481482293,13.2509428759193
"196","p016","C","conditionphil",0.000478116756432642,-0.0104630994889099,-0.037058753804545,-0.0237609266467275,-3.50211804636865
"197","p016","C","conditionspeech",0.382859373775699,0.00789986539888688,-0.0206299908052865,-0.0063650627031998,-0.874543044895254
"198","p016","C","(Intercept)",NA,0.313989086797324,0.299307348345705,0.306648217571514,81.873064874993
"199","p016","D","conditionphil",4.86070538154029e-05,-0.141811937910259,-0.402963638731913,-0.272387788321086,-4.08858340388477
"200","p016","D","conditionspeech",0.0929920018162862,0.0202291409104319,-0.269919261371068,-0.124845060230318,-1.68666668349777
"201","p016","D","(Intercept)",NA,1.43620584657368,1.28145138461463,1.35882861559416,34.4191064220394
